200,1,215.00,306.00,80.00,120.00,0.74
201,1,212.60,306.80,90.40,132.00,0.80
202,1,211.42,308.44,101.21,145.45,0.85
203,1,211.69,318.50,116.00,159.81,0.87
204,1,215.18,341.54,112.57,156.42,0.84
205,1,222.21,368.36,115.19,153.61,0.83
206,1,229.44,399.01,111.89,141.21,0.80
207,1,238.20,434.79,116.46,125.76,0.80
208,1,246.60,467.06,133.88,115.99,0.82
209,1,252.25,501.19,144.16,104.25,0.77
210,1,256.29,525.79,135.65,95.43,0.75
211,1,260.92,549.25,131.55,96.52,0.74
212,1,265.80,568.17,148.94,96.25,0.69
213,1,267.64,586.23,162.17,94.27,0.82
214,1,270.72,601.91,141.30,86.12,0.78
215,1,273.62,615.22,126.12,82.01,0.77
216,1,273.78,625.18,133.46,82.91,0.74
217,1,274.53,633.57,124.90,80.56,0.81
218,1,277.25,641.85,122.63,75.74,0.68
219,1,278.80,649.44,115.74,67.19,0.61
220,1,281.25,656.75,103.55,60.12,0.57
221,1,286.16,661.98,90.66,54.40,0.52
222,1,294.15,673.24,72.62,45.48,0.57
337,2,271.00,316.00,103.00,154.00,0.84
338,2,272.60,368.80,123.80,171.60,0.89
339,2,284.49,432.17,96.40,139.17,0.84
340,2,306.07,525.07,64.60,102.18,0.61
