147,1,332.00,320.00,79.00,81.00,0.76
148,1,322.40,317.60,95.00,103.40,0.87
149,1,316.31,334.93,110.22,116.61,0.84
150,1,309.07,372.74,132.84,123.33,0.88
151,1,305.68,427.07,148.60,116.53,0.76
152,1,256.69,449.20,212.57,145.35,0.81
153,1,239.12,457.05,245.98,194.89,0.80
154,1,305.13,557.93,189.35,146.33,0.64
209,2,389.00,373.00,35.00,41.00,0.71
210,2,397.00,386.60,35.00,39.40,0.53
211,2,401.62,401.74,36.54,38.31,0.54
211,3,319.00,319.00,121.00,122.00,0.83
212,2,408.51,422.49,39.34,41.13,0.71
212,3,315.80,345.40,122.60,112.40,0.72
213,2,417.14,450.35,40.96,41.27,0.72
214,2,424.21,486.54,43.54,41.25,0.69
215,2,433.98,519.34,46.44,41.92,0.65
218,2,459.27,605.06,48.91,42.06,0.54
220,2,449.64,657.03,48.20,43.61,0.54
