88,1,815.00,288.00,82.00,135.00,0.72
95,2,738.00,428.00,169.00,183.00,0.76
96,2,755.60,462.40,156.20,163.80,0.70
97,2,754.34,479.64,154.46,167.95,0.79
98,2,739.69,493.50,161.05,178.59,0.80
99,2,733.81,511.37,157.15,178.94,0.87
100,2,722.02,524.80,158.59,175.81,0.53
101,2,713.40,539.36,158.35,171.67,0.58
102,2,699.62,548.02,163.79,170.09,0.58
103,2,688.20,555.34,165.72,165.36,0.67
118,3,782.00,543.00,65.00,169.00,0.87
119,3,799.60,547.80,61.00,165.00,0.84
120,3,811.71,554.95,64.93,158.01,0.81
121,3,821.69,565.25,66.96,149.35,0.87
122,3,827.57,570.32,71.91,146.31,0.82
125,3,826.30,572.98,86.46,143.79,0.58
130,3,809.99,579.19,92.59,136.54,0.62
131,3,806.44,580.20,89.61,135.20,0.61
132,3,801.82,580.54,87.89,134.77,0.52
133,3,798.10,581.28,85.26,133.98,0.71
134,3,793.34,584.85,90.99,129.69,0.63
135,3,790.34,589.51,83.98,126.78,0.67
136,3,784.42,593.85,79.09,123.07,0.57
