116,1,654.00,580.00,57.00,96.00,0.71
123,2,672.00,581.00,57.00,97.00,0.77
124,2,673.60,578.60,59.40,99.40,0.70
125,2,674.66,575.08,64.42,100.62,0.74
126,2,671.34,571.57,72.84,101.04,0.57
130,2,697.14,558.28,64.09,102.92,0.62
131,2,703.47,555.83,66.61,105.17,0.66
408,3,701.00,363.00,294.00,144.00,0.80
409,3,695.40,394.20,296.40,126.40,0.88
410,3,696.63,436.58,288.40,108.42,0.91
411,3,708.08,454.55,262.87,145.94,0.93
412,3,726.42,466.90,226.41,177.67,0.91
413,3,739.93,479.77,197.26,197.09,0.93
414,3,750.10,496.17,177.23,203.15,0.91
415,3,754.67,514.21,162.04,199.46,0.88
416,3,757.76,530.36,151.16,193.07,0.84
417,3,760.52,545.07,139.85,184.60,0.78
418,3,760.21,555.23,130.63,174.09,0.74
419,3,761.31,564.28,120.41,163.54,0.69
422,3,763.58,589.02,82.65,97.59,0.66
424,3,781.36,604.06,85.05,99.83,0.57
425,3,787.36,605.34,86.74,97.07,0.60
426,3,795.59,606.62,87.99,85.51,0.69
557,4,837.00,528.00,167.00,182.00,0.71
558,4,832.20,528.00,171.00,181.20,0.72
559,4,823.63,528.77,179.41,183.36,0.75
560,4,810.86,529.03,190.62,184.86,0.75
561,4,801.74,529.09,199.22,186.01,0.81
562,4,796.76,529.09,204.04,187.78,0.83
563,4,793.96,529.08,207.50,186.93,0.83
564,4,791.22,529.07,209.83,186.56,0.82
565,4,792.47,529.06,209.11,186.39,0.79
566,4,790.55,529.73,210.58,186.30,0.68
567,4,787.37,529.97,214.92,186.24,0.56
651,5,851.00,373.00,232.00,215.00,0.71
652,5,834.20,408.20,242.40,186.20,0.88
653,5,827.97,432.21,239.06,166.70,0.89
654,5,832.82,455.77,224.66,137.71,0.88
655,5,840.72,471.31,204.90,114.79,0.76
656,5,858.42,489.66,174.11,84.86,0.83
657,5,880.73,495.55,133.65,66.30,0.50
658,5,899.37,495.79,87.84,60.74,0.72
659,5,904.83,498.28,55.37,60.57,0.75
660,5,892.12,500.32,54.57,63.00,0.83
661,5,873.16,504.41,68.28,63.97,0.85
662,5,852.45,511.93,77.27,66.01,0.82
663,5,830.67,518.48,82.55,68.93,0.81
664,5,808.15,526.72,82.74,73.46,0.79
665,5,786.07,535.52,78.83,76.49,0.68
670,5,722.87,574.06,43.97,108.73,0.54
672,5,717.35,590.36,40.07,98.69,0.59
673,5,716.02,598.15,39.99,93.82,0.63
674,5,716.65,601.38,40.67,102.96,0.70
675,5,716.60,602.63,40.23,102.92,0.67
676,5,717.70,602.71,40.75,106.82,0.68
677,5,719.00,601.94,40.26,101.20,0.68
679,5,722.13,606.03,44.03,93.95,0.72
